Generateurs,Algorithme,Taille,Désordre,Répartition,Comparaisons,Temps,Affectations,Accès_aux_données
Generator0,tri_a_bulle,100,50,DEBUT,4950,0.00021,0,9900
Generator1,tri_a_bulle,100,50,DEBUT,4950,0.00184,4950,19800
Generator0,tri_a_bulle,100,50,MILIEU,4950,0.00021,0,9900
Generator1,tri_a_bulle,100,50,MILIEU,4950,0.00355,4950,19800
Generator0,tri_a_bulle,100,50,FIN,4950,0.00022,0,9900
Generator1,tri_a_bulle,100,50,FIN,4950,0.00149,4950,19800
Generator0,tri_a_bulle,100,50,ALEATOIRE,4950,0.00023,0,9900
Generator1,tri_a_bulle,100,50,ALEATOIRE,4950,0.00145,4950,19800
Generator0,tri_a_bulle,100,100,DEBUT,4950,0.00102,2650,15200
Generator1,tri_a_bulle,100,100,DEBUT,4950,0.00129,2355,14610
Generator0,tri_a_bulle,100,100,MILIEU,4950,0.00102,2355,14610
Generator1,tri_a_bulle,100,100,MILIEU,4950,0.00099,2251,14402
Generator0,tri_a_bulle,100,100,FIN,4950,0.00104,2584,15068
Generator1,tri_a_bulle,100,100,FIN,4950,0.00099,2363,14626
Generator0,tri_a_bulle,100,100,ALEATOIRE,4950,0.00103,2546,14992
Generator1,tri_a_bulle,100,100,ALEATOIRE,4950,0.00106,2640,15180
Generator0,tri_rapide,100,50,DEBUT,4950,0.00152,99,5247
Generator1,tri_rapide,100,50,DEBUT,4950,0.00102,99,5247
Generator0,tri_rapide,100,50,MILIEU,4950,0.00148,99,5247
Generator1,tri_rapide,100,50,MILIEU,4950,0.00098,99,5247
Generator0,tri_rapide,100,50,FIN,4950,0.00147,99,5247
Generator1,tri_rapide,100,50,FIN,4950,0.00102,99,5247
Generator0,tri_rapide,100,50,ALEATOIRE,4950,0.00146,99,5247
Generator1,tri_rapide,100,50,ALEATOIRE,4950,0.00100,99,5247
Generator0,tri_rapide,100,100,DEBUT,623,0.00027,69,830
Generator1,tri_rapide,100,100,DEBUT,798,0.00032,68,1002
Generator0,tri_rapide,100,100,MILIEU,616,0.00030,69,823
Generator1,tri_rapide,100,100,MILIEU,603,0.00028,63,792
Generator0,tri_rapide,100,100,FIN,719,0.00028,66,917
Generator1,tri_rapide,100,100,FIN,713,0.00028,68,917
Generator0,tri_rapide,100,100,ALEATOIRE,588,0.00028,66,786
Generator1,tri_rapide,100,100,ALEATOIRE,587,0.00024,66,785
Generator0,tri_fusion,100,50,DEBUT,356,0.00042,1344,2728
Generator1,tri_fusion,100,50,DEBUT,316,0.00042,1344,2648
Generator0,tri_fusion,100,50,MILIEU,356,0.00042,1344,2728
Generator1,tri_fusion,100,50,MILIEU,316,0.00073,1344,2648
Generator0,tri_fusion,100,50,FIN,356,0.00059,1344,2728
Generator1,tri_fusion,100,50,FIN,316,0.00052,1344,2648
Generator0,tri_fusion,100,50,ALEATOIRE,356,0.00063,1344,2728
Generator1,tri_fusion,100,50,ALEATOIRE,316,0.00041,1344,2648
Generator0,tri_fusion,100,100,DEBUT,534,0.00052,1344,3084
Generator1,tri_fusion,100,100,DEBUT,541,0.00044,1344,3098
Generator0,tri_fusion,100,100,MILIEU,539,0.00042,1344,3094
Generator1,tri_fusion,100,100,MILIEU,542,0.00049,1344,3100
Generator0,tri_fusion,100,100,FIN,546,0.00079,1344,3108
Generator1,tri_fusion,100,100,FIN,543,0.00042,1344,3102
Generator0,tri_fusion,100,100,ALEATOIRE,542,0.00043,1344,3100
Generator1,tri_fusion,100,100,ALEATOIRE,544,0.00048,1344,3104
Generator0,tri_par_tas,100,50,DEBUT,795,0.00046,640,2870
Generator1,tri_par_tas,100,50,DEBUT,561,0.00037,516,2154
Generator0,tri_par_tas,100,50,MILIEU,795,0.00045,640,2870
Generator1,tri_par_tas,100,50,MILIEU,561,0.00037,516,2154
Generator0,tri_par_tas,100,50,FIN,795,0.00046,640,2870
Generator1,tri_par_tas,100,50,FIN,561,0.00038,516,2154
Generator0,tri_par_tas,100,50,ALEATOIRE,795,0.00044,640,2870
Generator1,tri_par_tas,100,50,ALEATOIRE,561,0.00037,516,2154
Generator0,tri_par_tas,100,100,DEBUT,679,0.00041,586,2530
Generator1,tri_par_tas,100,100,DEBUT,681,0.00042,588,2538
Generator0,tri_par_tas,100,100,MILIEU,699,0.00042,593,2584
Generator1,tri_par_tas,100,100,MILIEU,656,0.00038,574,2460
Generator0,tri_par_tas,100,100,FIN,666,0.00040,579,2490
Generator1,tri_par_tas,100,100,FIN,683,0.00041,582,2530
Generator0,tri_par_tas,100,100,ALEATOIRE,674,0.00041,587,2522
Generator1,tri_par_tas,100,100,ALEATOIRE,664,0.00041,571,2470
Generator0,tri_par_base,100,50,DEBUT,99,0.00018,200,1201
Generator1,tri_par_base,100,50,DEBUT,99,0.00017,200,1102
Generator0,tri_par_base,100,50,MILIEU,99,0.00016,200,1201
Generator1,tri_par_base,100,50,MILIEU,99,0.00017,200,1102
Generator0,tri_par_base,100,50,FIN,99,0.00022,200,1201
Generator1,tri_par_base,100,50,FIN,99,0.00017,200,1102
Generator0,tri_par_base,100,50,ALEATOIRE,99,0.00016,200,1201
Generator1,tri_par_base,100,50,ALEATOIRE,99,0.00017,200,1102
Generator0,tri_par_base,100,100,DEBUT,99,0.00016,200,1108
Generator1,tri_par_base,100,100,DEBUT,99,0.00017,200,1109
Generator0,tri_par_base,100,100,MILIEU,99,0.00016,200,1106
Generator1,tri_par_base,100,100,MILIEU,99,0.00017,200,1107
Generator0,tri_par_base,100,100,FIN,99,0.00016,200,1108
